T拼音	汉字	类别	意符	通用语	释义
dan3	赕	责任	zr	danfzr	中国傣语称用物品奉献（佛）：赕佛
dan4	担	用具	yj	dandyj	挑东西的用具，多用竹、木做成：扁担
dan4	瘅	疾病	jb	dandjb	由劳累造成的病
dan4	旦	时日	ur	dandur	表示某一天，亦指农历的初一日
dan4	但	(连词)		dand	不过，可是
dan4	但	连词	lc	dandlc	不过，可是
dan4	诞	本能	bn	dandbn	生育，人出生
dan4	啖	嘴部	zb	dandzb	吃或给人吃
dan4	弹	器材	qc	dandqc	可以用力发射出去的小丸；装有爆炸物可以击毁人、物的武器
dan4	惮	恐怖	kb	dandkb	怕，畏惧
dan4	淡	浓度	nd	dandnd	含盐分少，与“咸”相对
dan4	萏	草本	cb	dandcb	〔菡萏〕荷花
dan4	蛋	变态	bt	dandbt	鸟、龟、蛇等生的带有硬壳的卵
dan4	氮	元素	ys	dandys	一种气体元素N
dan4	澹	形容	xr	dandxr	恬静、安然的样子
dan4	石	衡量	hl	dandhl	中国市制容量单位，十斗为一石
dang1	铛	[拟词]	n	dagln	同“当”象声词，金属撞击的声音
dang1	当	(责任)		dag	充任，担任
dang1	当	责任	zr	daglzr	充任，担任
dang1	裆	(衣位)		dagl	两裤腿相连的地方
dang1	裆	衣位	yw	daglyw	两裤腿相连的地方
dang3	挡	对抗	dk	dagfdk	阻拦，遮蔽
dang3	党	(团体)		dagf	为了政治目的结合起来的团体
dang3	党	团体	tt	dagftt	为了政治目的结合起来的团体
dang3	谠	[评判]	p	dagfp	正直的（言论）
dang4	当	(认同)		dagd	合宜：恰当
dang4	当	认同	rt	dagdrt	合宜：恰当
dang4	挡	劳作	lz	dagdlz	[摒挡]料理收拾
dang4	凼	流体	lt	dagdlt	塘，水坑：水凼
dang4	宕	[操作]	c	dagdc	拖延，搁置
dang4	砀	地名	dm	dagddm	"[砀山]地名,在安徽"
dang4	荡	侵害	qh	dagdqh	清除，弄光
dang4	档	组合	zh	dagdzh	存放案卷用的带格子的橱架
dang4	菪	草本	cb	dagdcb	"[莨菪]多年生草本植物,有毒，全草入药"
dao1	刀	(工具)		dao	用来切、割、斩、削、砍、刺、铡的工具
dao1	刀	工具	gj	daolgj	用来切、割、斩、削、砍、刺、铡的工具
dao1	叨	(叙述)		daol	〔叨叨〕话多
dao1	叨	叙述	xu	daolxu	〔叨叨〕话多
dao1	忉	忧愁	yi	daolyi	〔忉忉〕形容忧愁，焦虑的样子
dao1	氘	元素	ys	daolys	氢的同位素之一，符号D，用于热核反应
dao2	叨	(叙述)		daok	〔叨叨〕话多
dao2	叨	叙述	xu	daokxu	〔叨叨〕话多
dao3	导	(操控)		daof	指引，带领
dao3	导	操控	ck	daofck	指引，带领
dao3	岛	近水	ju	daofju	或湖泊里四面被水围着的陆地
dao3	倒	转动	vd	daofvd	竖立的东西躺下来
dao3	捣	碰撞	pv	daofpv	砸，舂
dao3	祷	祷告	dg	daofdg	教徒或迷信的人向天、神求助、求福
dao3	蹈	踩踏	ct	daofct	践踏，踩
dao4	帱	反感	fg	daodfg	覆盖：“如天之无不帱也”
dao4	倒	相对	xd	daodxd	竖立的东西躺下来
dao4	到	(来往)		daod	从别处来
dao4	到	来往	lw	daodlw	从别处来
dao4	悼	思念	sn	daodsn	悲伤，哀念
dao4	焘	"掩盖,排序"	ygp	daodygp	覆盖：焘育（天地养育万物）
dao4	盗	侵夺	qd	daodqd	偷窃，用不正当的手段营私或谋取
dao4	道	交通	jt	daodjt	路，方向，途径
dao4	稻	谷物	gw	daodgw	一年生草本植物
dao4	纛	表示	bu	daodbu	古代军队里的大旗
de2	得	(获取)		dek	获取，接受
de2	得	获取	hq	dekhq	获取，接受
de2	锝	元素	ys	dekys	一种人造放射性金属元素Tc
de2	德	文化	wh	dekwh	人们共同生活及行为的准则和规范，品行，品质
de5	得	[语助词]	y	demy	用在动词或形容词后的连接补语，表示效果或程度
de5	的	"(语助词,排序)"		d	助词，用在句末，表示肯定的语气
de5	的	"语助词,排序"	yvp	demyvp	助词，用在句末，表示肯定的语气
de5	底	"语助词,旧字"	yvj	demyvj	助词，用在句末，表示肯定的语气
de5	地	(语助词)		dem	结构助词，用在词或词组之后表示修饰后面的谓语
de5	地	语助词	yv	demyv	结构助词，用在词或词组之后表示修饰后面的谓语
dei3	得	(责任)		deif	必须，须要
dei3	得	责任	zr	deifzr	必须，须要
deng1	灯	(用具)		degl	照明的器具
deng1	灯	用具	yj	deglyj	照明的器具
deng1	登	(上浮)		deg	上，升
deng1	登	上浮	uf	degluf	上，升
deng1	噔	[拟词]	n	degln	象声词，重物落地或撞击物体声
deng1	簦	组合	zh	deglzh	古代有柄的笠，像现在的雨伞
deng1	蹬	踩踏	ct	deglct	踩，践踏，脚向下用力
deng3	等	(情况)		degf	数量、程度相同，或地位一般高
deng3	等	情况	qk	degfqk	数量、程度相同，或地位一般高
deng3	戥	量具	lj	degflj	"一种小型的秤,称“戥子”"
deng4	澄	[操作]	c	degdc	让液体里的杂质沉下去
deng4	蹬	损失	su	degdsu	[蹭蹬]遭遇挫折不得意
deng4	邓	(府县)		degd	[邓州]古称“邓”或“穰”，是河南省直管市，豫西南门户城市，是国务院确定的丹江口库区区域中心城市
deng4	邓	府县	fx	degdfx	[邓州]古称“邓”或“穰”，是河南省直管市，豫西南门户城市，是国务院确定的丹江口库区区域中心城市
deng4	凳	家具	jj	degdjj	有腿没有靠背的坐具
deng4	嶝	交通	jt	degdjt	山上可攀登的小路
deng4	瞪	眼部	yb	degdyb	怒目直视
deng4	磴	土建	tj	degdtj	石头台阶
deng4	镫	用具	yj	degdyj	挂在马鞍两旁的铁制脚踏
di1	低	(空间)		di	液体一点一点地向下落
di1	低	空间	kj	dilkj	地势或位置在一般标准或平均程度之下，与“高”相对
di1	羝	[哺乳]	b	dilb	公羊
di1	堤	土建	tj	diltj	用土石等材料修筑的挡水的高岸
di1	嘀	[拟词]	n	diln	象声词[滴答]形容水地落下或钟表摆动的声音
di1	滴	(流动)		dil	液体一点一点地向下落
di1	滴	流动	ld	dilld	液体一点一点地向下落
di1	镝	元素	ys	dilys	一种金属元素Dy
di1	氐	族群	zq	dilzq	中国古代民族，居住在今西北一带
di1	提	力量	ll	dilll	〔提溜]垂手拿着
di2	的	[评判]	p	dikp	真实，实在
di2	嘀	叙述	xu	dikxu	〔嘀咕〕小声说话
di2	镝	兵器	bq	dikbq	箭头，亦指箭
di2	狄	族群	zq	dikzq	中国古族名
di2	籴	[交易]	j	dikj	买进粮食，与“粜”相对
di2	迪	劝说	qu	dikqu	开导
di2	敌	(敌人)		dik	有利害冲突不能相容的
di2	敌	敌人	dr	dikdr	有利害冲突不能相容的
di2	涤	劳作	lz	diklz	洗：洗涤
di2	荻	草本	cb	dikcb	多年生草本植物，生在水边，叶子长形，似芦苇
di2	笛	乐器	yq	dikyq	管乐器名
di2	觌	社交	uj	dikuj	相见
di2	嫡	家族	jz	dikjz	封建宗法制度中指正妻
di2	翟	鸟类	nl	diknl	长尾山雉（野鸡）
di3	氐	属性	ux	difux	根本
di3	诋	谴责	qz	difqz	毁谤
di3	邸	场所	is	difis	高级官员的住所
di3	坻	地形	dx	difdx	高坡地
di3	底	(方位)		dif	最下面的部分
di3	底	方位	fw	diffw	最下面的部分
di3	抵	对抗	dk	difdk	挡，拒，用力对撑着
di3	柢	根苗	gm	difgm	树木的根；引申为基础
di3	砥	工具	gj	difgj	细的磨刀石
di3	骶	组织	zv	difzv	腰部下面尾骨上面的部分
di4	的	方位	fw	didfw	箭靶的中心
di4	地	天文	tw	didtw	人类生长活动的所在
di4	弟	家族	jz	didjz	同父母（或只同父、只同母）的比自己年纪小的男子
di4	帝	信仰	xy	didxy	宗教徒或神话中称宇宙的创造者和主宰者
di4	娣	"家族,雌性"	jzc	didjzc	古代称丈夫的弟妇
di4	递	传递	id	didid	传送，传达
di4	第	(次序)		did	次序
di4	第	次序	cx	didcx	次序
di4	谛	态度	td	didtd	仔细
di4	棣	木本	mb	didmb	〔棣棠〕落叶灌木，花黄色
di4	睇	眼部	yb	didyb	斜着眼看，看
di4	缔	连贯	lg	didlg	结合，订立
di4	蒂	花朵	hd	didhd	花或瓜果跟枝茎相连的部分
di4	碲	元素	ys	didys	一种非金属元素Te，无定形的结晶体
dia3	嗲	(仪态)		diaf	形容撒娇的声音或态度
dia3	嗲	仪态	yt	diafyt	形容撒娇的声音或态度
dian1	掂	智慧	vh	diblvh	用手托着东西估量轻重
dian1	掂	智慧	vh	diblvh	用手托着东西估量轻重
dian1	滇	河川	hi	diblhi	中国云南省的别称
dian1	颠	(躯体)		dib	头顶
dian1	颠	躯体	qt	diblqt	头顶
dian1	巅	地形	dx	dibldx	山顶
dian1	癫	疾病	jb	dibljb	精神错乱失常
dian3	典	文具	wj	dibfwj	可以作为标准的书籍
dian3	点	(外表)		dibf	细小的痕迹或物体
dian3	点	外表	wb	dibfwb	细小的痕迹或物体
dian3	碘	元素	ys	dibfys	一种非金属元素I，供制医药、染料等用
dian3	踮	动作	dz	dibfdz	跛足人走路用脚尖点地
dian3	丶	符号	fh	dibffh	汉子的部首
dian4	电	(物理)		dibd	物理学现象，可通过化学的或物理的方法获得的一种能
dian4	电	物理	wl	dibdwl	物理学现象，可通过化学的或物理的方法获得的一种能
dian4	佃	职业	vy	dibdvy	向地主或官府租种土地的农民
dian4	甸	区域	qy	dibdqy	古代指郊外的地方
dian4	阽	空间	kj	dibdkj	临近边缘，一般指险境而言
dian4	坫	土建	tj	dibdtj	古代屋中的土台子，上面可放饮食用具
dian4	店	场所	is	dibdis	售卖货物的铺子
dian4	垫	相对	xd	dibdxd	衬在底下或铺在上面
dian4	玷	外表	wb	dibdwb	白玉上面的斑点，亦喻人的缺点、过失
dian4	钿	佩<配>饰	pu	dibdpu	把金属宝石等镶嵌在器物上作装饰
dian4	惦	认知	rv	dibdrv	记挂：惦念
dian4	淀	流体	lt	dibdlt	浅的湖泊
dian4	奠	典礼	dl	dibddl	向死者供献祭品致敬
dian4	殿	传统	it	dibdit	高大的房屋，特指帝王所居和朝会的地方，或供奉神佛的地方
dian4	靛	材料	cl	dibdcl	一种深蓝色有机染料，称“靛蓝”
dian4	癜	疾病	jb	dibdjb	皮肤病，长紫斑或白斑
dian4	簟	组合	zh	dibdzh	竹席
diao1	刁	(野蛮)		diaol	狡猾，无赖
diao1	刁	野蛮	ym	diaolym	狡猾，无赖
diao1	叼	嘴部	zb	diaolzb	用嘴衔住
diao1	凋	枯萎	kw	diaolkw	衰落：凋谢
diao1	貂	[哺乳]	b	diaolb	哺乳动物的一属
diao1	碉	土建	tj	diaoltj	〔碉堡〕军事上防守用的构筑物
diao1	雕	(鸟类)		diao	鸟类的一属，大型猛禽
diao1	雕	鸟类	nl	diaolnl	鸟类的一属，大型猛禽
diao1	鲷	鱼类	yl	diaolyl	〔真鲷〕鱼，身体红色，有蓝色斑点，肉鲜美
diao3	屌	(器官)		diaof	男子外生殖器
diao3	屌	器官	qg	diaofqg	男子外生殖器
diao3	鸟	"器官,排序"	qgp	diaofqgp	同“屌”男子外生殖器
diao4	吊	社交	uj	diaoduj	祭奠死者或对遭到丧事的人家、团体给予慰问
diao4	钓	技能	jn	diaodjn	用饵诱鱼上钩
diao4	调	(委派)		diaod	安排处置：调令
diao4	调	委派	wp	diaodwp	安排处置
diao4	掉	下沉	xi	diaodxi	落下
diao4	铞	器材	qc	diaodqc	煎药烧水的器具
diao4	铫	炊具	ij	diaodij	煮开水熬东西用的器具
die1	踮	下沉	xi	dielxi	下降，低落
die1	爹	(家族)		diel	父亲
die1	爹	家族	jz	dieljz	父亲
die1	跌	(随动)		die	摔：跌跤。跌倒
die1	跌	随动	sd	dielsd	摔：跌跤。跌倒
die2	迭	[交易]	j	diekj	交换，轮流
die2	垤	地形	dx	diekdx	小土丘
die2	瓞	果品	gp	diekgp	小瓜
die2	谍	谋求	mq	diekmq	秘密探察军、政及经济等方面的消息
die2	喋	形容	xr	diekxr	啰唆，语言烦琐
die2	堞	传统	it	diekit	城上如齿状的矮墙
die2	揲	变形	bx	diekbx	摺叠
die2	耋	时日	ur	diekur	年老，七八十岁的年纪
die2	叠	(汇集)		diek	重复，累积
die2	叠	汇集	hj	diekhj	重复，累积
die2	牒	凭据	pj	diekpj	文书，证件
die2	碟	盛器	iq	diekiq	盛食物等的器具，比盘子小，扁而浅
die2	蝶	[昆虫]	k	diekk	昆虫，翅膀阔大，颜色美丽
die2	蹀	踩踏	ct	diekct	顿足，踏
die2	鲽	鱼类	yl	diekyl	鱼类的一科，比目鱼的一种，体型侧扁
ding1	丁	(类别)		dig	天干的第四位，用于作顺序第四的代称
ding1	丁	类别	lb	digllb	天干的第四位，用于作顺序第四的代称
ding1	仃	境况	jk	digljk	孤独，没依靠
ding1	叮	劝说	qu	diglqu	再三嘱咐
ding1	玎	[拟词]	n	digln	〔玎玲〕象声词，多形容玉石撞击声
ding1	疔	疾病	jb	digljb	中医学指病理变化急骤并有全身症状的恶性小疮
ding1	盯	(眼部)		digl	注视，集中视力看着，不放松
ding1	盯	眼部	yb	diglyb	注视，集中视力看着，不放松
ding1	钉	器材	qc	diglqc	竹木、金属制成的呈条形的、可以打入他物的东西
ding1	耵	排泄	px	diglpx	〔耵聍〕耳垢，耳屎，皮脂腺分泌的蜡状物质
ding1	酊	药品	yp	diglyp	医药上用酒精和药物配制而成的液剂：酊剂。碘酊。颠茄酊
ding1	町	地名	dm	digldm	畹町，地名，在云南
ding3	酊	知觉	vj	digfvj	酩酊，形容大醉
ding3	顶	(方位)		digf	最高的，最上的及最高最上的部分
ding3	顶	方位	fw	digffw	最高的，最上的及最高最上的部分
ding3	鼎	炊具	ij	digfij	古代烹煮用的器物，一般是三足两耳：铜鼎。鼎食
ding4	钉	切入	qr	digdqr	把钉或楔子打入他物，把东西固定或组合起来
ding4	订	[交易]	j	digdj	经过研究商讨而立下（契约等）
ding4	定	(态势)		digd	不动的，不变的
ding4	定	态势	tu	digdtu	不动的，不变的
ding4	啶	[化学]	h	digdh	有机化合物中的一种含氮杂环的名称
ding4	腚	[躯体]	q	digdq	臀部：光腚
ding4	碇	器材	qc	digdqc	系船的石墩
ding4	锭	机械	jx	digdjx	纺车或纺纱机上绕纱的机件
ding4	铤	材料	cl	digdcl	古代称未经冶铸的铜铁
diu1	丢	(损失)		diu	失去，遗落
diu1	丢	损失	su	diulsu	失去，遗落
diu1	铥	元素		diul	一种金属元素Tm，属稀土金属
diu1	铥	元素	ys	diulys	一种金属元素Tm，属稀土金属
dong1	东	(方位)		dog	方向，太阳出升的一边，与“西”相对
dong1	东	方位	fw	doglfw	方向，太阳出升的一边，与“西”相对
dong1	冬	(时日)		dogl	一年中的第四季：冬季
dong1	冬	时日	ur	doglur	一年中的第四季：冬季
dong1	咚	[拟词]	n	dogln	象声词，形容重东西落下或击鼓的声音
dong1	岽	地名	dm	dogldm	地名，均在中国广西壮族自治区
dong1	氡	元素	ys	doglys	一种放射性惰性气体元素Rn ，无色无臭
dong1	鸫	鸟类	nl	doglnl	鸟类的一科，嘴细长而侧扁，翅膀长，善于飞翔
dong3	董	考核	kh	dogfkh	监督管理：董统。董督。董正
dong3	懂	(认知)		dogf	了解，明白
dong3	懂	认知	rv	dogfrv	了解，明白
dong4	动	(属性)		dogd	改变原来位置或脱离静止状态，与“静”相对
dong4	动	属性	ux	dogdux	改变原来位置或脱离静止状态，与“静”相对
dong4	冻	变化	bh	dogdbh	液体或含水分的东西遇冷凝结
dong4	侗	族群	zq	dogdzq	中国少数民族，主要分布于贵州、湖南等省和广西壮族自治区
dong4	垌	田园	ty	dogdty	田地
dong4	峒	固象	gx	dogdgx	矿井下专为安装各种机械设备或存放材料、矿石和供其他辅助作业的巷道
dong4	恫	恐怖	kb	dogdkb	恐吓
dong4	栋	土建	tj	dogdtj	量词，指房屋
dong4	洞	地形	dx	dogddx	窟窿，深穴，孔：洞穴。山洞
dong4	胨	[化学]	h	dogdh	有机化合物，医学上用作细菌的培养基
dong4	胴	[躯体]	q	dogdq	躯干，整个身体除去头部、四肢和内脏余下的部分
dong4	硐	场所	is	dogdis	山洞
dou1	都	(副词)		dou	大都市：都市。都会
dou1	都	副词	fc	doulfc	大都市：都市。都会
dou1	兜	(用具)		doul	口袋
dou1	兜	用具	yj	doulyj	口袋
dou1	蔸	茎干	jg	douljg	指某些植物的根和靠近根的茎
dou1	篼	载具	zj	doulzj	〔篼子〕走山路坐的竹轿，一般用竹椅捆在两根竹竿上做成
dou3	斗	衡量	hl	doufhl	中国市制容量单位（十升为一斗，十斗为一石）
dou3	抖	(波动)		douf	振动，甩动
dou3	抖	波动	bd	doufbd	振动，甩动
dou3	陡	形态	xt	doufxt	斜度很大，近于垂直
dou3	蚪	变态	bt	doufbt	〔蝌蚪〕蛙或蟾蜍的幼体，黑色，身体椭圆，有长尾，生活在水中，最后变成蛙或蟾蜍
dou4	斗	(对抗)		doud	对打
dou4	斗	对抗	dk	douddk	对打
dou4	豆	谷物	gw	doudgw	双子叶植物的一科，木本、草本植物都有
dou4	逗	驻留	vl	doudvl	停留
dou4	痘	疾病	jb	doudjb	〔痘疮〕即“天花”
dou4	窦	固象	gx	doudgx	人体某些器官或组织的内部凹入的部分
dou4	读	符号	fh	doudfh	旧指文章里一句中间念起来要稍稍停顿的地方
du1	都	(政区)		du	大都市
du1	都	政区	vq	dulvq	大都市
du1	嘟	[拟词]	n	duln	象声词：喇叭嘟嘟响
du1	督	(考核)		dul	察看；监管
du1	督	考核	kh	dulkh	察看；监管
du2	毒	药品	yp	dukyp	有害的性质或有害的东西
du2	读	叙述	xu	dukxu	依照文字念
du2	渎	近水	ju	dukju	水沟，小渠，亦泛指河川
du2	椟	家具	jj	dukjj	柜子，匣子
du2	牍	文具	wj	dukwj	古代写字用的木片
du2	犊	[哺乳]	b	dukb	小牛
du2	黩	谴责	qz	dukqz	污辱，玷污
du2	髑	组织	zv	dukzv	〔髑髅〕死人的头骨，骷髅
du2	独	(差异)		duk	单一，只有一个
du2	独	差异	iy	dukiy	单一，只有一个
du2	顿	[名称]	m	dukm	[冒顿]汉初匈奴族一个单于的名字
du3	笃	态度	td	duftd	忠实，一心一意
du3	堵	(屏蔽)		duf	阻塞，挡
du3	堵	屏蔽	pb	dufpb	阻塞，挡
du3	赌	游戏	yx	dufyx	用财物作注来争输赢
du3	睹	眼部	yb	dufyb	看见
du3	肚	肉食	ru	dufru	供食用的动物的胃
du4	芏	草本	cb	dudcb	〔茳芏〕多年生草木植物，茎三棱形，叶细长，开绿褐色小花，茎可编席
du4	妒	仇恨	ih	dudih	因为别人好而忌恨
du4	杜	木本	mb	dudmb	落叶乔木，果实圆而小，味涩可食，俗称“杜梨”，亦称“甘棠”、“棠梨”
du4	肚	器官	qg	dudqg	腹部，胸下腿上的部分，亦指人的肠胃部分
du4	度	(单位)		dud	计算长短的器具或单位
du4	度	单位	dw	duddw	计算长短的器具或单位
du4	渡	动作	dz	duddz	横过水面
du4	镀	[操作]	c	dudc	用电解等化学方法使一种金属附着在别的金属或物体的表面上，形成薄层
du4	蠹	虫子	iz	dudiz	〔茳芏〕多年生草木植物，茎三棱形，叶细长，开绿褐色小花，茎可编席
duan1	端	(开始)		dub	(事情的)开头
duan1	端	开始	ku	dublku	(事情的)开头
duan3	短	(差异)		dubf	长度小，与“长”相对
duan3	短	差异	iy	dubfiy	长度小，与“长”相对
duan4	段	[量词]	l	dubdl	事物、时间的一节
duan4	断	(破开)		dubd	长形的东西从中间分开
duan4	断	破开	pk	dubdpk	长形的东西从中间分开
duan4	缎	服料	fl	dubdfl	中国特产的质地厚密、一面光滑的丝织品
duan4	椴	木本	mb	dubdmb	落叶乔木，像白杨，木材细致，可以制造蒸笼、铅笔和火柴等
duan4	煅	医科	yk	dubdyk	放在火里烧，减少药石的烈性（中药的一种制法）
duan4	锻	技能	jn	dubdjn	把金属放在火里烧，然后用锤子打
duan4	簖	组合	zh	dubdzh	拦河插在水里捕鱼蟹用的竹栅栏
dui1	堆	(量词)		dui	累积在一起的东西
dui1	堆	[量词]	l	duill	累积在一起的东西
dui4	队	[量词]	l	duidl	具有某种性质的集体
dui4	对	(沟通)		duid	答，答话，回答
dui4	对	沟通	gt	duidgt	答，答话，回答
dui4	兑	[交易]	j	duidj	交换
dui4	怼	仇恨	ih	duidih	怨恨
dui4	碓	用具	yj	duidyj	木石做成的捣米器具
dui4	憝	"仇恨,排序"	ihp	duidihp	怨恨，憎恶
dui4	镦	兵器	bq	duidbq	打夯用的重锤
dui4	敦	盛器	iq	duidiq	古代盛黍稷的器具
dun1	镦	[操作]	c	dunlc	用锤击、加压等方法，使坯料变短、横断面积增大
dun1	吨	单位	dw	dunldw	重量单位，公制一吨等于1000公斤
dun1	敦	(文明)		dun	厚道，笃厚
dun1	敦	文明	wm	dunlwm	厚道，笃厚
dun1	墩	土建	tj	dunltj	土堆
dun1	礅	物产	wi	dunlwi	厚而粗重的整块石头
dun1	蹲	(姿态)		dunl	两腿尽量弯曲，像坐的样子，但臀部不着地
dun1	蹲	姿态	zt	dunlzt	两腿尽量弯曲，像坐的样子，但臀部不着地
dun3	盹	(本能)		dunf	很短时间的睡眠：打盹儿
dun3	盹	本能	bn	dunfbn	很短时间的睡眠：打盹儿
dun3	趸	[规律]	g	dunfg	整，整数
dun4	囤	组合	zh	dundzh	用竹篾、荆条等编织成的或用席箔等围成的存放粮食等农产品的器物
dun4	沌	态势	tu	dundtu	水势汹涌的样子
dun4	炖	烹饪	pr	dundpr	煨煮食品使烂
dun4	盾	兵器	bq	dundbq	古代打仗时防护身体，挡住敌人刀箭等的牌
dun4	砘	农具	nj	dundnj	耩完地之后用来轧地的农具，用石头做成
dun4	钝	体貌	tm	dundtm	不锋利，不快，引申为不顺利
dun4	顿	(平衡)		dund	很短时间的停止
dun4	顿	平衡	ph	dundph	很短时间的停止
dun4	遁	躲避	db	dunddb	逃避，躲闪
duo1	多	(差异)		duo	数量大，与“少”、“寡”相对
duo1	多	差异	iy	duoliy	数量大，与“少”、“寡”相对
duo1	咄	(形容)		duol	〔咄咄〕表示惊怪，如“咄咄怪事
duo1	咄	形容	xr	duolxr	〔咄咄〕表示惊怪，如“咄咄怪事
duo1	哆	波动	bd	duolbd	〔哆嗦〕发抖，战栗
duo1	裰	劳作	lz	duollz	缝实破衣
duo1	掇	手控	uk	duoluk	拾取；摘取
duo2	度	智慧	vh	duokvh	计算，推测
duo2	夺	(侵夺)		duok	抢，强取
duo2	夺	侵夺	qd	duokqd	抢，强取
duo2	铎	乐器	yq	duokyq	大铃，形如铙、钲而有舌，古代宣布政教法令用的，亦为古代乐器
duo2	踱	奔走	bz	duokbz	慢慢地走：踱方步
duo3	朵	(花朵)		duof	植物的花或苞
duo3	朵	花朵	hd	duofhd	植物的花或苞
duo3	哚	[化学]	h	duofh	[吲哚]有机化合物
duo3	垛	土建	tj	duoftj	墙或某些建筑物突出的部分，有支撑或掩蔽作用
duo3	缍	服料	fl	duoffl	缍是一个汉字，读音为duǒ，解释为缍子绫，出字林。
duo3	躲	躲避	db	duofdb	隐藏；退让：躲藏
duo4	垛	[量词]	l	duodl	整齐地堆积起来
duo4	剁	切入	qr	duodqr	用刀向下砍
duo4	沲	单位	dw	duoddw	粘度单位。用于标定油的粘度。英文为Stoke。
duo4	堕	(下沉)		duod	掉下来，坠落
duo4	堕	下沉	xi	duodxi	掉下来，坠落
duo4	舵	机械	jx	duodjx	船、飞机等控制方向的装置
duo4	惰	野蛮	ym	duodym	落，落下：墮马身亡。墮入深渊
duo4	跺	踩踏	ct	duodct	提起脚来用力踏地
duo4	驮	组合	zh	duodzh	用于牲口驮着的货物
duo4	柁	"机械,排序"	jxp	duodjxp	同“舵”，船、飞机等控制方向的装置
e1	阿	(社交)		el	迎合；偏袒
e1	阿	社交	uj	eluj	迎合；偏袒
e1	屙	本能	bn	elbn	排泄大小便
e1	婀	仪态	yt	elyt	柔美的样子
e1	婀	仪态	yt	elyt	柔美的样子
e2	讹	[评判]	p	ekp	错误
e2	俄	时日	ur	ekur	短时间
e2	娥	观念	gn	ekgn	女子姿容美好
e2	峨	差异	iy	ekiy	高：巍峨
e2	莪	草本	cb	ekcb	〔莪蒿〕多年生草本植物，生水边，叶像针，开黄绿小花
e2	锇	元素	ys	ekys	一种金属元素Os，是金属中比重最大的
e2	鹅	鸟类	nl	eknl	家禽，比鸭子大，颈长，喙扁阔，尾短，体白色或灰色
e2	蛾	[昆虫]	k	ekk	昆虫，与蝴蝶相似，体肥大，触角细长如丝，翅面灰白
e2	额	(躯体)		ek	人脸头发以下、眉毛以上的部分
e2	额	躯体	qt	ekqt	人脸头发以下、眉毛以上的部分
e2	哦	才艺	cy	ekcy	〔吟哦〕有节奏地诵读诗文
e3	恶	(评判)		ef	〔恶心〕要呕吐的感觉；亦指对人和事的厌恶态度
e3	恶	评判	pp	efpp	〔恶心〕要呕吐的感觉；亦指对人和事的厌恶态度
e4	厄	灾难	zn	edzn	困苦、灾难
e4	呃	痛苦	tk	edtk	气逆上冲作声：呃逆（因横隔膜拘挛引起的打嗝儿
e4	扼	指法	vf	edvf	用力掐住
e4	苊	[化学]	h	edh	有机化合物，无色针状结晶，溶于热酒精
e4	轭	机械	jx	edjx	驾车时搁在牛马颈上的曲木
e4	垩	物产	wi	edwi	白土，泛指可用来涂饰的土
e4	恶	(评判)		ed	不好
e4	恶	评判	pp	edpp	不好
e4	饿	体感	tg	edtg	肚子空，想吃东西
e4	谔	形容	xr	edxr	正直的说话
e4	鄂	地区	dq	eddq	湖北省的别称
e4	阏	屏蔽	pb	edpb	堵塞
e4	愕	惊奇	jq	edjq	惊讶
e4	萼	花朵	hd	edhd	在花瓣下部的一圈叶状绿色小片
e4	遏	胁迫	xp	edxp	阻止；禁止
e4	腭	器官	qg	edqg	口腔的上膛，前面部分，称“硬腭”
e4	锷	兵器	bq	edbq	刀剑的刃
e4	鹗	鸟类	nl	ednl	鸟，性凶猛，背暗褐色，腹白色，常在水面上飞翔
e4	颚	感官	gg	edgg	某些节肢动物摄取食物的器官
e4	噩	[思绪]	s	eds	惊人的，不祥的
e4	鳄	爬类	pl	edpl	爬行动物的一属，大的体长达三米到六米
e5	呃	(语助词)		em	用在句末，表示赞叹或惊异的语气
e5	呃	语助词	yv	emyv	用在句末，表示赞叹或惊异的语气
ei2	诶	(叹词)		eik	叹词，表示诧异
ei2	诶	叹词	tc	eiktc	叹词，表示诧异
ei3	诶	(叹词)		eif	叹词，表示不以为然
ei3	诶	叹词	tc	eiftc	叹词，表示不以为然
ei4	诶	(叹词)		eid	叹词，表示应声或同意
ei4	诶	叹词	tc	eidtc	叹词，表示应声或同意
en1	奀	(仪态)		enl	方言，瘦小
en1	奀	仪态	yt	enlyt	方言，瘦小
en1	恩	(保卫)		en	好处，深厚的情谊
en1	恩	保卫	bw	enlbw	好处，深厚的情谊
en1	蒽	[化学]	h	enlh	有机化合物，工业上用来制造有机染料
en4	摁	(力量)		end	用手按压
en4	摁	力量	ll	endll	用手按压
er1	儿	(语法儿化)		er	表示前一个单字读音转化为儿化
er1	儿	(语法儿化)		erl	表示前一个单字读音转化为儿化
er1	儿	语法儿化	yfeh	erlyfeh	表示前一个单字读音转化为儿化
er2	儿	称谓	iw	erkiw	小孩子
er2	而	(连词)		erk	连词
er2	而	连词	lc	erklc	连词
er2	鸸	鸟类	nl	erknl	〔鸸鹋〕鸟，似鸵鸟，嘴短扁，羽毛灰色或褐色
er2	鲕	生命	um	erkum	鱼苗；小鱼
er3	尔	(代词)		erf	你，你的
er3	尔	代词	dc	erfdc	你，你的
er3	耳	感官	gg	erfgg	听觉和平衡感觉的器官（通称“耳朵”）
er3	迩	空间	kj	erfkj	“遐迩”，即“远近”
