词语	T拼音	通用语
挂冠	gua4guan1	gua-gub
广为	guang3wei2	guagui
瓜果	gua1guo3	gua-guo
光源	guang1yuan2	guagvb
广域网	guang3yu4wang3	guagvuag
光效率	guang1xiao4lv4	guagxiaolv
光线	guang1xian4	guagxib
光纤网	guang1xian1wang3	guagxibuag
光学	guang1xue2	guagxve
光子	guang1zi3	guagz
光泽	guang1ze2	guagze
光照	guang1zhao4	guagzhao
光照度	guang1zhao4du4	guagzhaodu
光着脚	guang1zhe5jiao3	guagzhejiao
广种	guang3zhong3	guagzhog
广州话	guang3zhou1hua4	guagzhouhua
广州人	guang3zhou1ren2	guagzhouren
光柱	guang1zhu4	guagzhu
挂号	gua4hao4	guahao
挂号费	gua4hao4fei4	guahaofei
挂号信	gua4hao4xin4	guahaoxin
挂红	gua4hong2	guahog
挂怀	gua4huai2	guahuai
刮胡刀	gua1hu2dao1	guahudao
刮胡子	gua1hu2zi5	guahuz
骨癌	gu3ai2	gu-ai
瓜秧	gua1yang1	gua-iag
寡言	gua3yan2	gua-ib
怪病	guai4bing4	guaibig
怪不得	guai4bu4de5	guaibud
怪才	guai4cai2	guaicai
拐出	guai3chu1	guaichu
拐带	guai3dai4	guaidai
怪诞	guai4dan4	guaidan
拐到	guai3dao4	guaidao
怪调	guai4diao4	guaidiao
乖乖	guai1guai1	guaiguai
拐棍	guai3gun4	guaigun
拐过	guai3guo4	guaiguo
怪话	guai4hua4	guaihua
怪异	guai4yi4	guaii
怪样	guai4yang4	guaiiag
拐角	guai3jiao3	guaijiao
怪杰	guai4jie2	guaijie
拐进	guai3jin4	guaijin
乖觉	guai1jue2	guaijve
怪客	guai4ke4	guaike
乖戾	guai1li4	guaili
怪里怪气	guai4li3guai4qi4	guaili-guaiq
怪论	guai4lun4	guailun
拐卖	guai3mai4	guaimai
怪梦	guai4meng4	guaimeg
乖僻	guai1pi4	guaipi
拐骗	guai3pian4	guaipib
乖巧	guai1qiao3	guaiqiao
拐去	guai3qu4	guaiqv
怪圈	guai4quan1	guaiqvb
怪人	guai4ren2	guairen
拐入	guai3ru4	guairu
怪声	guai4sheng1	guaisheg
怪事	guai4shi4	guaishi
怪兽	guai4shou4	guaishou
怪胎	guai4tai1	guaitai
怪物	guai4wu4	guaiu
挂有	gua4you3	gua-iu
拐弯	guai3wan1	guaiub
拐弯处	guai3wan1chu3	guaiubchu
怪味	guai4wei4	guaiui
怪鱼	guai4yu2	guaiv
拐向	guai3xiang4	guaixiag
怪笑	guai4xiao4	guaixiao
拐子	guai3zi5	guaiz
拐杖	guai3zhang4	guaizhag
怪招	guai4zhao1	guaizhao
怪状	guai4zhuang4	guaizhuag
拐走	guai3zou3	guaizou
怪罪	guai4zui4	guaizui
挂机	gua4ji1	guaj
挂角	gua4jiao3	guajiao
挂件	gua4jian4	guajib
寡居	gua3ju1	guajv
挂靠	gua4kao4	guakao
刮来	gua1lai2	gualai
挂历	gua4li4	guali
刮脸	gua1lian3	gualib
挂炉	gua4lu2	gualu
挂虑	gua4lv4	gualv
挂满	gua4man3	guaman
挂面	gua4mian4	guamib
挂名	gua4ming2	guamig
刮目	gua1mu4	guamu
挂念	gua4nian4	guanib
瓜农	gua1nong2	guanog
谷氨酸	gu3an1suan1	gu-ansub
孤傲	gu1ao4	gu-ao
刮破	gua1po4	guap
挂牌	gua4pai2	guapai
瓜棚	gua1peng2	guapeg
瓜皮	gua1pi2	guapi
瓜皮帽	gua1pi2mao4	guapimao
挂起	gua4qi3	guaq
寡情	gua3qing2	guaqig
挂起来	gua4qi3lai2	guaqlai
刮去	gua1qu4	guaqv
瓜瓤	gua1rang2	guarag
寡人	gua3ren2	guaren
刮痧	gua1sha1	guasha
挂上	gua4shang4	guashag
挂失	gua4shi1	guashi
挂帅	gua4shuai4	guashuai
挂毯	gua4tan3	guatan
瓜田	gua1tian2	guatib
寡头	gua3tou2	guatou
瓜蔓抄	gua1wan4chao1	guaubchao
寡欲	gua3yu4	guav
瓜园	gua1yuan2	guavb
刮下	gua1xia4	guaxia
挂心	gua4xin1	guaxin
瓜子	gua1zi3	guaz
挂在	gua4zai4	guazai
挂帐	gua4zhang4	guazhag
挂职	gua4zhi2	guazhi
挂钟	gua4zhong1	guazhog
挂住	gua4zhu4	guazhu
瓜子脸	gua1zi3lian3	guazlib
刮走	gua1zou3	guazou
古巴队	gu3ba1dui4	gu-badui
关爱	guan1ai4	gubai
古柏	gu3bai3	gu-bai
古板	gu3ban3	gu-ban
古堡	gu3bao3	gu-bao
官办	guan1ban4	gubban
管保	guan3bao3	gubbao
官本位	guan1ben3wei4	gubbenui
关闭	guan1bi4	gubbi
官兵	guan1bing1	gubbig
管不着	guan3bu4zhao2	gubbuzhao
馆藏	guan3cang2	gubcag
管材	guan3cai2	gubcai
观测	guan1ce4	gubce
观测站	guan1ce4zhan4	gubcezhan
观察	guan1cha2	gubcha
惯常	guan4chang2	gubchag
官差	guan1chai1	gubchai
观察家	guan1cha2jia1	gubchajia
观察力	guan1cha2li4	gubchali
官产	guan1chan3	gubchan
观潮	guan1chao2	gubchao
观察哨	guan1cha2shao4	gubchashao
观察室	guan1cha2shi4	gubchashi
观察所	guan1cha2suo3	gubchasuo
观察团	guan1cha2tuan2	gubchatub
观察员	guan1cha2yuan2	gubchavb
观察者	guan1cha2zhe3	gubchazhe
贯彻	guan4che4	gubche
惯称	guan4cheng1	gubcheg
管城子	guan3cheng2zi3	gubchegz
管吃	guan3chi1	gubchi
关窗	guan1chuang1	gubchuag
贯穿	guan4chuan1	gubchub
管带	guan3dai4	gubdai
管道	guan3dao4	gubdao
管道工	guan3dao4gong1	gubdaogog
关灯	guan1deng1	gubdeg
管得着	guan3de5zhao2	gubdezhao
官邸	guan1di3	gubdi
关掉	guan1diao4	gubdiao
观点	guan1dian3	gubdib
灌顶	guan4ding3	gubdig
关帝庙	guan1di4miao4	gubdi-miao
管段	guan3duan4	gubdub
古碑	gu3bei1	gu-bei
股本	gu3ben3	gu-ben
官方	guan1fang1	gubfag
惯犯	guan4fan4	gubfan
管风琴	guan3feng1qin2	gubfegqin
官费	guan1fei4	gubfei
官府	guan1fu3	gubfu
灌溉	guan4gai4	gubgai
观感	guan1gan3	gubgan
管工	guan3gong1	gubgog
观光	guan1guang1	gubguag
观光客	guan1guang1ke4	gubguagk
观光者	guan1guang1zhe3	gubguagzhe
棺椁	guan1guo3	gubguo
观海	guan1hai3	gubhai
关好	guan1hao3	gubhao
观后感	guan1hou4gan3	gubhougan
关乎	guan1hu1	gubhu
官话	guan1hua4	gubhua
关怀	guan1huai2	gubhuai
官宦	guan1huan4	gubhub
冠以	guan4yi3	gubi
古币	gu3bi4	gu-bi
关押	guan1ya1	gubia
惯养	guan4yang3	gubiag
冠亚军	guan4ya4jun1	gubiajvn
官窑	guan1yao2	gubiao
关严	guan1yan2	gubib
官营	guan1ying2	gubig
骨病	gu3bing4	gu-big
观音	guan1yin1	gubin
惯用	guan4yong4	gubiog
惯用语	guan4yong4yu3	gubiogv
关机	guan1ji1	gubj
管家	guan3jia1	gubjia
灌浆	guan4jiang1	gubjiag
管教	guan3jiao1	gubjiao
管教所	guan3jiao4suo3	gubjiaosuo
管家婆	guan3jia1po2	gubjiap
官架子	guan1jia4zi5	gubjiaz
关键	guan1jian4	gubjib
关键词	guan1jian4ci2	gubjibc
关键性	guan1jian4xing4	gubjibxig
关键字	guan1jian4zi4	gubjibz
关节	guan1jie2	gubjie
关节炎	guan1jie2yan2	gubjieib
关进	guan1jin4	gubjin
关禁闭	guan1jin4bi4	gubjinbi
灌酒	guan4jiu3	gubjiu
官爵	guan1jue2	gubjve
冠军	guan4jun1	gubjvn
冠军赛	guan4jun1sai4	gubjvnsai
观看	guan1kan4	gubkan
关口	guan1kou3	gubkou
管窥	guan3kui1	gubkui
观览	guan1lan3	gublan
官老爷	guan1lao3ye2	gublaoie
管理	guan3li3	gubli
惯量	guan4liang4	gubliag
官僚	guan1liao2	gubliao
关联	guan1lian2	gublib
管理办	guan3li3ban4	gubli-ban
管理层	guan3li3ceng2	gubli-ceg
管理处	guan3li3chu3	gubli-chu
管理法	guan3li3fa3	gubli-fa
管理费	guan3li3fei4	gubli-fei
管理局	guan3li3ju2	gubli-jv
管理区	guan3li3qu1	gubli-qv
管理权	guan3li3quan2	gubli-qvb
管理所	guan3li3suo3	gubli-suo
观礼台	guan1li3tai2	gubli-tai
管理员	guan3li3yuan2	gublivb
管理学	guan3li3xue2	gubli-xve
管理站	guan3li3zhan4	gubli-zhan
管理者	guan3li3zhe3	gubli-zhe
管理组	guan3li3zu3	gubli-zu
官路	guan1lu4	gublu
灌满	guan4man3	gubman
关贸	guan1mao4	gubmao
关门	guan1men2	gubmen
官面	guan1mian4	gubmib
冠名	guan4ming2	gubmig
冠名权	guan4ming2quan2	gubmigqvb
灌米汤	guan4mi3tang1	gubmi-tag
观摩	guan1mo2	gubmo
灌木	guan4mu4	gubmu
灌木丛	guan4mu4cong2	gubmu-cog
官能	guan1neng2	gubneg
官能症	guan1neng2zheng4	gubnegzheg
关内	guan1nei4	gubnei
观念	guan1nian4	gubnib
观棋	guan1qi2	gubq
关卡	guan1qia3	gubqia
官腔	guan1qiang1	gubqiag
关切	guan1qie4	gubqie
官亲	guan1qin1	gubqin
观球	guan1qiu2	gubqiu
灌区	guan4qu1	gubqv
观日	guan1ri4	gubr
官人	guan1ren2	gubren
关入	guan1ru4	gubru
官司	guan1si1	gubs
观赛	guan1sai4	gubsai
关上	guan1shang4	gubshag
观赏鱼	guan1shang3yu2	gubshagv
观赏性	guan1shang3xing4	gubshagxig
观赏者	guan1shang3zhe3	gubshagzhe
观山	guan1shan1	gubshan
关涉	guan1she4	gubshe
官绅	guan1shen1	gubshen
管事	guan3shi4	gubshi
观世音	guan1shi4yin1	gubshiin
灌输	guan4shu1	gubshu
关税	guan1shui4	gubshui
关说	guan1shuo1	gubshuo
馆所	guan3suo3	gubsuo
观天	guan1tian1	gubtib
官厅	guan1ting1	gubtig
贯通	guan4tong1	gubtog
罐头	guan4tou2	gubtou
罐头厂	guan4tou2chang3	gubtouchag
罐头盒	guan4tou2he2	gubtouh
观望	guan1wang4	gubuag
关外	guan1wai4	gubuai
顾不得	gu4bu4de5	gu-bud
官位	guan1wei4	gubui
管委会	guan3wei3hui4	gubuihui
顾不了	gu4bu4liao3	gu-buliao
顾不上	gu4bu4shang4	gu-bushag
关于	guan1yu2	gubv
官员	guan1yuan2	gubvb
管乐	guan3yue4	gubve
管乐队	guan3yue4dui4	gubvedui
管乐器	guan3yue4qi4	gubveq
官运	guan1yun4	gubvn
关系	guan1xi4	gubx
关系户	guan1xi4hu4	gubxhu
管辖	guan3xia2	gubxia
观象台	guan1xiang4tai2	gubxiagtai
管线	guan3xian4	gubxib
管闲事	guan3xian2shi4	gubxibshi
管弦乐	guan3xian2yue4	gubxibve
惯性	guan4xing4	gubxig
惯性矩	guan4xing4ju3	gubxigjv
关心	guan1xin1	gubxin
冠心病	guan1xin1bing4	gubxinbig
关系网	guan1xi4wang3	gubxi-uag
官学	guan1xue2	gubxve
关系学	guan1xi4xue2	gubxxve
管子	guan3zi5	gubz
关闸	guan1zha2	gubzha
官长	guan1zhang3	gubzhag
观战	guan1zhan4	gubzhan
关照	guan1zhao4	gubzhao
观者	guan1zhe3	gubzhe
管制	guan3zhi4	gubzhi
观众	guan1zhong4	gubzhog
观众席	guan1zhong4xi2	gubzhogx
关注	guan1zhu4	gubzhu
管状	guan3zhuang4	gubzhuag
关注点	guan1zhu4dian3	gubzhudib
灌醉	guan4zui4	gubzui
官佐	guan1zuo3	gubzuo
故此	gu4ci3	guc
谷仓	gu3cang1	gucag
谷草	gu3cao3	gucao
估测	gu1ce4	guce
古刹	gu3cha4	gucha
雇车	gu4che1	guche
古城	gu3cheng2	gucheg
鼓出	gu3chu1	guchu
雇船	gu4chuan2	guchub
鼓吹	gu3chui1	guchui
鼓吹者	gu3chui1zhe3	guchuizhe
鼓荡	gu3dang4	gudag
古代	gu3dai4	gudai
古代人	gu3dai4ren2	gudairen
古代史	gu3dai4shi3	gudaishi
孤单	gu1dan1	gudan
孤单单	gu1dan1dan1	gudandan
孤岛	gu1dao3	gudao
孤灯	gu1deng1	gudeg
故地	gu4di4	gudi
古调	gu3diao4	gudiao
古典	gu3dian3	gudib
古典式	gu3dian3shi4	gudibshi
古典舞	gu3dian3wu3	gudibu
姑爹	gu1die1	gudie
固定	gu4ding4	gudig
固定化	gu4ding4hua4	gudighua
咕咚	gu1dong1	gudog
古董店	gu3dong3dian4	gudogdib
股东会	gu3dong1hui4	gudoghui
咕嘟	gu1du1	gudu
咕嘟嘟	gu1du1du1	gudu-du
孤独感	gu1du2gan3	gudu-gan
骨朵	gu1duo3	guduo
孤独症	gu1du2zheng4	gudu-zheg
故而	gu4er2	guer
孤儿院	gu1er2yuan4	guervb
鼓风	gu3feng1	gufeg
鼓风机	gu3feng1ji1	gufegj
故封识	gu4feng1shi2	gufegshi
股份	gu3fen4	gufen
股份制	gu3fen4zhi4	gufenzhi
姑父	gu1fu4	gufu
骨骼	gu3ge2	gug
骨干	gu3gan4	gugan
骨干网	gu3gan4wang3	guganuag
孤高	gu1gao1	gugao
骨鲠	gu3geng3	gugeg
故宫	gu4gong1	gugog
咕咕	gu1gu1	gugu
孤寡	gu1gua3	gugua
古怪	gu3guai4	guguai
孤孤单单	gu1gu1dan1dan1	gugudandan
鼓鼓囊囊	gu3gu3nang1nang1	gugu-nagnag
故国	gu4guo2	guguo
股骨头	gu3gu1tou2	gugutou
古汉语	gu3han4yu3	guhanv
固化	gu4hua4	guhua
骨灰	gu3hui1	guhui
骨灰盒	gu3hui1he2	guhuih
孤魂	gu1hun2	guhun
蛊惑	gu3huo4	guhuo
故意	gu4yi4	gu-i
古雅	gu3ya3	gu-ia
归案	gui1an4	guian
孤雁	gu1yan4	gu-ib
跪拜	gui4bai4	guibai
瑰宝	gui1bao3	guibao
鬼把戏	gui3ba3xi4	guibax
龟背	gui1bei4	guibei
规避	gui1bi4	guibi
诡辩	gui3bian4	guibib
归并	gui1bing4	guibig
贵宾	gui4bin1	guibin
贵宾卡	gui4bin1ka3	guibinka
贵宾楼	gui4bin1lou2	guibinlou
贵宾席	gui4bin1xi2	guibinx
鬼才	gui3cai2	guicai
规场	gui1chang3	guichag
归巢	gui1chao2	guichao
规程	gui1cheng2	guicheg
贵处	gui4chu3	guichu
归档	gui1dang4	guidag
轨道	gui3dao4	guidao
跪地	gui4di4	guidi
鬼点子	gui3dian3zi5	guidibz
鬼地方	gui3di4fang1	guidi-fag
规定	gui1ding4	guidig
归队	gui1dui4	guidui
姑爷	gu1ye2	gu-ie
龟儿子	gui1er2zi5	guierz
贵方	gui4fang1	guifag
规范	gui1fan4	guifan
规范化	gui1fan4hua4	guifanhua
规范性	gui1fan4xing4	guifanxig
贵妃	gui4fei1	guifei
归附	gui1fu4	guifu
贵妇人	gui4fu4ren2	guifu-ren
规格	gui1ge2	guig
贵港	gui4gang3	guigag
贵干	gui4gan4	guigan
贵庚	gui4geng1	guigeg
归根	gui1gen1	guigen
归根到底	gui1gen1dao4di3	guigendaodi
归根结底	gui1gen1jie2di3	guigenjiedi
规格化	gui1ge2hua4	guighua
归公	gui1gong1	guigog
归功于	gui1gong1yu2	guigogv
硅谷	gui1gu3	guigu
鬼怪	gui3guai4	guiguai
桂冠	gui4guan1	guigub
归国	gui1guo2	guiguo
归航	gui1hang2	guihag
规划	gui1hua4	guihua
鬼画符	gui3hua4fu2	guihuafu
规划局	gui1hua4ju2	guihuajv
桂花树	gui4hua1shu4	guihuashu
归还	gui1huan2	guihub
归回	gui1hui2	guihui
鬼混	gui3hun4	guihun
鬼火	gui3huo3	guihuo
诡异	gui3yi4	guii
鬼影	gui3ying3	guiig
归隐	gui1yin3	guiin
轨迹	gui3ji4	guij
龟甲	gui1jia3	guijia
硅胶	gui1jiao1	guijiao
贵贱	gui4jian4	guijib
归结	gui1jie2	guijie
归结于	gui1jie2yu2	guijiev
贵金属	gui4jin1shu3	guijinshu
归咎	gui1jiu4	guijiu
归咎于	gui1jiu4yu2	guijiuv
规矩	gui1ju3	guijv
诡谲	gui3jue2	guijve
贵军	gui4jun1	guijvn
贵客	gui4ke4	guike
归口	gui1kou3	guikou
归来	gui1lai2	guilai
鬼佬	gui3lao3	guilao
归类	gui1lei4	guilei
瑰丽	gui1li4	guili
鬼脸	gui3lian3	guilib
鬼灵精	gui3ling2jing1	guiligjig
归拢	gui1long3	guilog
归路	gui1lu4	guilu
规律	gui1lv4	guilv
规律性	gui1lv4xing4	guilv-xig
鬼魅	gui3mei4	guimei
闺门	gui1men2	guimen
鬼门关	gui3men2guan1	guimengub
诡秘	gui3mi4	guimi
鬼名堂	gui3ming2tang2	guimigtag
规模	gui1mo2	guimo
规模化	gui1mo2hua4	guimohua
古音	gu3yin1	gu-in
归纳	gui1na4	guina
归纳法	gui1na4fa3	guinafa
圭臬	gui1nie4	guinie
归宁	gui1ning2	guinig
闺女	gui1nv3	guinv
雇佣	gu4yong1	gu-iog
雇佣兵	gu4yong1bing1	gu-iogbig
雇佣军	gu4yong1jun1	gu-iogjvn
桂皮	gui4pi2	guipi
硅片	gui1pian4	guipib
贵嫔	gui4pin2	guipin
归期	gui1qi1	guiq
归侨	gui1qiao2	guiqiao
归去	gui1qu4	guiqv
规劝	gui1quan4	guiqvb
贵人	gui4ren2	guiren
归入	gui1ru4	guiru
鬼神	gui3shen2	guishen
柜式	gui4shi4	guishi
贵手	gui4shou3	guishou
归属	gui1shu3	guishu
归顺	gui1shun4	guishun
归宿	gui1su4	guisu
硅酸	gui1suan1	guisub
硅酸盐	gui1suan1yan2	guisubib
鬼祟	gui3sui4	guisui
龟孙子	gui1sun1zi5	guisunz
龟缩	gui1suo1	guisuo
柜台	gui4tai2	guitai
贵体	gui4ti3	guiti
归田	gui1tian2	guitib
鬼天气	gui3tian1qi4	guitibq
龟头	gui1tou2	guitou
归途	gui1tu2	guitu
固有	gu4you3	gu-iu
归位	gui1wei4	guiui
归于	gui1yu2	guiv
桂圆	gui4yuan2	guivb
柜员机	gui4yuan2ji1	guivbj
规约	gui1yue1	guive
归西	gui1xi1	guix
跪下	gui4xia4	guixia
归降	gui1xiang2	guixiag
诡笑	gui3xiao4	guixiao
贵姓	gui4xing4	guixig
归心	gui1xin1	guixin
鬼雄	gui3xiong2	guixiog
闺秀	gui1xiu4	guixiu
规训	gui1xun4	guixvn
鬼子	gui3zi5	guiz
归葬	gui1zang4	guizag
贵在	gui4zai4	guizai
规则	gui1ze2	guize
诡诈	gui3zha4	guizha
规章	gui1zhang1	guizhag
规整	gui1zheng3	guizheg
归真	gui1zhen1	guizhen
规制	gui1zhi4	guizhi
鬼知道	gui3zhi1dao4	guizhidao
贵重	gui4zhong4	guizhog
贵胄	gui4zhou4	guizhou
鬼主意	gui3zhu3yi4	guizhu-i
刽子手	gui4zi5shou3	guizshou
贵族	gui4zu2	guizu
贵族化	gui4zu2hua4	guizuhua
归罪	gui1zui4	guizui
归罪于	gui1zui4yu2	guizuiv
跪坐	gui4zuo4	guizuo
贵族院	gui4zu2yuan4	guizuvb
估计	gu1ji4	guj
估价	gu1jia4	gujia
骨胶	gu3jiao1	gujiao
古建筑	gu3jian4zhu4	gujibzhu
骨节	gu3jie2	gujie
古井	gu3jing3	gujig
古今	gu3jin1	gujin
古旧	gu3jiu4	gujiu
故居	gu4ju1	gujv
孤军	gu1jun1	gujvn
顾客	gu4ke4	guke
孤苦	gu1ku3	guku
古来	gu3lai2	gulai
古兰经	gu3lan2jing1	gulanjig
古老	gu3lao3	gulao
姑老爷	gu1lao3ye2	gulaoie
谷类	gu3lei4	gulei
孤立	gu1li4	guli
估量	gu1liang4	guliag
孤零	gu1ling2	gulig
孤零零	gu1ling2ling2	guliglig
古里古怪	gu3li3gu3guai4	guli-guguai
鼓励奖	gu3li4jiang3	guli-jiag
鼓励性	gu3li4xing4	guli-xig
咕隆	gu1long2	gulog
鼓楼	gu3lou2	gulou
咕噜	gu1lu1	gulu
咕噜噜	gu1lu1lu1	gulu-lu
顾虑	gu4lv4	gulv
姑妈	gu1ma1	guma
古庙	gu3miao4	gumiao
沽名	gu1ming2	gumig
股民	gu3min2	gumin
估摸	gu1mo1	gumo
姑母	gu1mu3	gumu
鼓囊囊	gu3nang1nang1	gu-nagnag
姑奶奶	gu1nai3nai3	gu-nainai
棍棒	gun4bang4	gunbag
滚边	gun3bian1	gunbib
滚出	gun3chu1	gunchu
滚出去	gun3chu1qu4	gunchuqv
滚打	gun3da3	gunda
滚蛋	gun3dan4	gundan
滚动	gun3dong4	gundog
滚动式	gun3dong4shi4	gundogshi
谷内	gu3nei4	gu-nei
滚翻	gun3fan1	gunfan
滚沸	gun3fei4	gunfei
滚滚	gun3gun3	gungun
滚回	gun3hui2	gunhui
姑娘	gu1niang2	gu-niag
姑娘家	gu1niang2jia1	gu-niagjia
顾念	gu4nian4	gu-nib
滚进	gun3jin4	gunjin
滚开	gun3kai1	gunkai
滚雷	gun3lei2	gunlei
滚轮	gun3lun2	gunlun
滚落	gun3luo4	gunluo
滚木	gun3mu4	gunmu
咕哝	gu1nong2	gu-nog
滚去	gun3qu4	gunqv
滚热	gun3re4	gunre
滚入	gun3ru4	gunru
滚水	gun3shui3	gunshui
滚烫	gun3tang4	guntag
滚梯	gun3ti1	gunti
滚筒	gun3tong3	guntog
滚筒式	gun3tong3shi4	guntogshi
孤女	gu1nv3	gu-nv
滚圆	gun3yuan2	gunvb
滚下	gun3xia4	gunxia
滚向	gun3xiang4	gunxiag
滚雪球	gun3xue3qiu2	gunxveqiu
棍儿	gun4er1	gunyr
棍子	gun4zi5	gunz
滚轴	gun3zhou2	gunzhou
滚珠	gun3zhu1	gunzhu
国奥队	guo2ao4dui4	guoaodui
锅巴	guo1ba1	guoba
过磅	guo4bang4	guobag
过半	guo4ban4	guoban
国宝	guo2bao3	guobao
国本	guo2ben3	guoben
国标	guo2biao1	guobiao
国别	guo2bie2	guobie
国宾	guo2bin1	guobin
国宾馆	guo2bin1guan3	guobingub
过不去	guo4bu4qu4	guobuqv
国策	guo2ce4	guoce
果茶	guo3cha2	guocha
过场	guo4chang3	guochag
国产	guo2chan3	guochan
国产化	guo2chan3hua4	guochanhua
国产货	guo2chan3huo4	guochanhuo
国产片	guo2chan3pian4	guochanpib
国产品	guo2chan3pin3	guochanpin
国朝	guo2chao2	guochao
过车	guo4che1	guoche
过程	guo4cheng2	guocheg
国耻	guo2chi3	guochi
国仇	guo2chou2	guochou
过春节	guo4chun1jie2	guochunjie
过从	guo4cong2	guocog
国粹	guo2cui4	guocui
过错	guo4cuo4	guocuo
过大	guo4da4	guoda
过当	guo4dang1	guodag
国道	guo2dao4	guodao
过得硬	guo4de5ying4	guode-ig
过得去	guo4de5qu4	guodeqv
过低	guo4di1	guodi
过电	guo4dian4	guodib
过电影	guo4dian4ying3	guodibig
过冬	guo4dong1	guodog
过渡	guo4du4	guodu
果断	guo3duan4	guodub
过多	guo4duo1	guoduo
过渡期	guo4du4qi1	guodu-q
过渡性	guo4du4xing4	guodu-xig
国法	guo2fa3	guofa
国防	guo2fang2	guofag
国防军	guo2fang2jun1	guofagjvn
过繁	guo4fan2	guofan
过分	guo4fen4	guofen
国父	guo2fu4	guofu
国歌	guo2ge1	guog
锅盖	guo1gai4	guogai
果敢	guo3gan3	guogan
国共	guo2gong4	guogog
国歌声	guo2ge1sheng1	guogsheg
国故	guo2gu4	guogu
国光	guo2guang1	guoguag
过关	guo4guan1	guogub
蝈蝈	guo1guo1	guoguo
过河	guo4he2	guoh
国航	guo2hang2	guohag
过海	guo4hai3	guohai
国号	guo2hao4	guohao
过红	guo4hong2	guohog
过后	guo4hou4	guohou
过户	guo4hu4	guohu
国画	guo2hua4	guohua
国槐	guo2huai2	guohuai
国徽	guo2hui1	guohui
过会儿	guo4hui4er1	guohuiyr
国魂	guo2hun2	guohun
过火	guo4huo3	guohuo
国医	guo2yi1	guoi
国药	guo2yao4	guoiao
国宴	guo2yan4	guoib
过夜	guo4ye4	guoie
国营	guo2ying2	guoig
过瘾	guo4yin3	guoin
国有	guo2you3	guoiu
国有化	guo2you3hua4	guoiuhua
国有制	guo2you3zhi4	guoiuzhi
国际	guo2ji4	guoj
国际部	guo2ji4bu4	guojbu
国际法	guo2ji4fa3	guojfa
国际歌	guo2ji4ge1	guojg
国际化	guo2ji4hua4	guojhua
国家	guo2jia1	guojia
国家队	guo2jia1dui4	guojiadui
过奖	guo4jiang3	guojiag
国家级	guo2jia1ji2	guojiaj
过家家	guo1jia1jia1	guojiajia
果胶	guo3jiao1	guojiao
国界	guo2jie4	guojie
过街楼	guo4jie1lou2	guojielou
过街桥	guo4jie1qiao2	guojieqiao
国境	guo2jing4	guojig
国境线	guo2jing4xian4	guojigxib
裹紧	guo3jin3	guojin
国酒	guo2jiu3	guojiu
国际网	guo2ji4wang3	guoji-uag
国际上	guo2ji4shang4	guojshag
国剧	guo2ju4	guojv
果决	guo3jue2	guojve
国君	guo2jun1	guojvn
国际性	guo2ji4xing4	guojxig
国际制	guo2ji4zhi4	guojzhi
过客	guo4ke4	guoke
国库	guo2ku4	guoku
过快	guo4kuai4	guokuai
过宽	guo4kuan1	guokub
锅盔	guo1kui1	guokui
国库券	guo2ku4quan4	guoku-qvb
过来	guo4lai2	guolai
过来人	guo4lai2ren2	guolairen
过滥	guo4lan4	guolan
过劳	guo4lao2	guolao
过冷	guo4leng3	guoleg
果类	guo3lei4	guolei
国立	guo2li4	guoli
过量	guo4liang4	guoliag
国联	guo2lian2	guolib
果林	guo3lin2	guolin
锅炉	guo1lu2	guolu
过乱	guo4luan4	guolub
锅炉房	guo1lu2fang2	guolu-fag
过路人	guo4lu4ren2	guolu-ren
过滤	guo4lv4	guolv
过滤器	guo4lv4qi4	guolv-q
过滤嘴	guo4lv4zui3	guolv-zui
国骂	guo2ma4	guoma
国脉	guo2mai4	guomai
过慢	guo4man4	guoman
国贸	guo2mao4	guomao
过猛	guo4meng3	guomeg
国门	guo2men2	guomen
过密	guo4mi4	guomi
果苗	guo3miao2	guomiao
国名	guo2ming2	guomig
过敏	guo4min3	guomin
过敏原	guo4min3yuan2	guominvb
过敏性	guo4min3xing4	guominxig
过敏症	guo4min3zheng4	guominzheg
过目	guo4mu4	guomu
国难	guo2nan4	guonan
国内	guo2nei4	guonei
国内法	guo2nei4fa3	guoneifa
国内外	guo2nei4wai4	guoneiuai
国鸟	guo2niao3	guoniao
过年	guo4nian2	guonib
果农	guo3nong2	guonog
过胖	guo4pang4	guopag
果盘	guo3pan2	guopan
果皮	guo3pi2	guopi
果品	guo3pin3	guopin
果脯	guo3pu2	guopu
过期	guo4qi1	guoq
国旗法	guo2qi2fa3	guoqfa
过强	guo4qiang2	guoqiag
过桥	guo4qiao2	guoqiao
过桥费	guo4qiao2fei4	guoqiaofei
过谦	guo4qian1	guoqib
国庆	guo2qing4	guoqig
国庆节	guo2qing4jie2	guoqigjie
国球	guo2qiu2	guoqiu
过去	guo4qu4	guoqv
过去时	guo4qu4shi2	guoqvshi
果然	guo3ran2	guoran
过热	guo4re4	guore
国人	guo2ren2	guoren
果肉	guo3rou4	guorou
过日子	guo4ri4zi5	guorz
国丧	guo2sang1	guosag
国色	guo2se4	guose
裹上	guo3shang4	guoshag
过筛	guo4shai1	guoshai
过山车	guo4shan1che1	guoshanche
过剩	guo4sheng4	guosheg
过生日	guo4sheng1ri4	guoshegr
过甚	guo4shen4	guoshen
果实	guo3shi2	guoshi
过时货	guo4shi2huo4	guoshihuo
过手	guo4shou3	guoshou
果树	guo3shu4	guoshu
国税	guo2shui4	guoshui
过水面	guo4shui3mian4	guoshuimib
